Feature	Log2FC(median)	Log2FC(mean)	ModeratedT(Stats)	ModeratedT(P-value)	FDR	-Log10(FDR)	Significance	Gene	group1_label	group2_label	n_group1_total	n_group2_total	n_group1_nonmissing	n_group2_nonmissing	group1_mean	group2_mean	group1_median	group2_median	AbsLog2FC(mean)	AbsLog2FC(median)
H3-4	4.737959776376964	5.419909316409576					U	H3-4	GG1	GG2	5	24	1	5	4.40376958304383	-1.0161397333657463	4.40376958304383	-0.334190193333134	5.419909316409576	4.737959776376964
ADGRG5	4.570043938227016	3.9559154983689626					U	ADGRG5	GG1	GG2	5	24	1	3	0.954017268017576	-3.0018982303513866	0.954017268017576	-3.61602667020944	3.9559154983689626	4.570043938227016
SFTPA2	3.801454473487481	2.8758949726283642					U	SFTPA2	GG1	GG2	5	24	3	13	2.385350655846578	-0.49054431678178645	3.22487895913609	-0.576575514351391	2.8758949726283642	3.801454473487481
AK7	3.363355397418472	3.334692741302757					U	AK7	GG1	GG2	5	24	1	8	2.89246431309701	-0.44222842820574676	2.89246431309701	-0.470891084321462	3.334692741302757	3.363355397418472
MKS1	3.271881888816147	3.241993106215023					U	MKS1	GG1	GG2	5	24	1	4	2.60056114642331	-0.641431959791713	2.60056114642331	-0.671320742392837	3.241993106215023	3.271881888816147
TMEM39A	-3.247340142249413	-3.36738124769104					D	TMEM39A	GG1	GG2	5	24	1	4	-2.77160998085942	0.59577126683162	-2.77160998085942	0.475730161389993	3.36738124769104	3.247340142249413
DEFA3	3.18856425658248	1.9319191323347118					U	DEFA3	GG1	GG2	5	24	3	17	0.91694255019029	-1.0149765821444219	2.15777469745476	-1.03078955912772	1.9319191323347118	3.18856425658248
GP1BB	2.6396593663441337	2.6339940412128606					U	GP1BB	GG1	GG2	5	24	1	6	2.25348497769007	-0.3805090635227904	2.25348497769007	-0.3861743886540635	2.6339940412128606	2.6396593663441337
LRRC55	-2.3060804645109965	-2.223446221463848					D	LRRC55	GG1	GG2	5	24	1	4	-1.17300133455336	1.0504448869104883	-1.17300133455336	1.1330791299576366	2.223446221463848	2.3060804645109965
PPP1R1C	2.2616812588489257	2.0557683833772322					U	PPP1R1C	GG1	GG2	5	24	2	15	1.7791232401313999	-0.27664514324583234	1.7791232401313999	-0.482558018717526	2.0557683833772322	2.2616812588489257
UPK3B	2.077431997990497	2.179409974991694					U	UPK3B	GG1	GG2	5	24	1	6	2.55359548262219	0.3741855076304958	2.55359548262219	0.4761634846316925	2.179409974991694	2.077431997990497
ACHE	2.013459157548677	2.011884552888509					U	ACHE	GG1	GG2	5	24	1	9	1.83292393045725	-0.17896062243125907	1.83292393045725	-0.180535227091427	2.011884552888509	2.013459157548677
ELAPOR2	1.989293115565491	2.1426722858031697					U	ELAPOR2	GG1	GG2	5	24	1	6	1.91099540120253	-0.23167688460063976	1.91099540120253	-0.0782977143629608	2.1426722858031697	1.989293115565491
MAP6D1	1.9013921448665603	1.5276104595946283					U	MAP6D1	GG1	GG2	5	24	1	5	0.0880184619874402	-1.439591997607188	0.0880184619874402	-1.81337368287912	1.5276104595946283	1.9013921448665603
CORIN	1.891164855497884	2.3192000654006937					U	CORIN	GG1	GG2	5	24	3	15	1.7748339790401264	-0.5443660863605674	1.13319572536177	-0.757969130136114	2.3192000654006937	1.891164855497884
ZBTB34	1.887579352231392	1.7157668249312226					U	ZBTB34	GG1	GG2	5	24	2	9	1.65916655051172	-0.05660027441950271	1.65916655051172	-0.228412801719672	1.7157668249312226	1.887579352231392
PTPRO	1.8748886816311057	1.7323511752394527					U	PTPRO	GG1	GG2	5	24	1	4	0.976945934508585	-0.7554052407308676	0.976945934508585	-0.8979427471225205	1.7323511752394527	1.8748886816311057
LCMT2	1.700425359511847	1.6399627445178422					U	LCMT2	GG1	GG2	5	24	1	3	1.28858104367603	-0.3513817008418121	1.28858104367603	-0.411844315835817	1.6399627445178422	1.700425359511847
HOXD8	1.6900316953258094	1.7915755342764665					U	HOXD8	GG1	GG2	5	24	2	10	1.153722767311215	-0.6378527669652515	1.153722767311215	-0.5363089280145945	1.7915755342764665	1.6900316953258094
TATDN2	1.662421477837179	1.4592063401455868					U	TATDN2	GG1	GG2	5	24	1	13	2.0173432897459	0.5581369496003131	2.0173432897459	0.354921811908721	1.4592063401455868	1.662421477837179
KIF20B	1.6132607111180466	1.6283166975896737					U	KIF20B	GG1	GG2	5	24	1	8	2.09093635752142	0.4626196599317464	2.09093635752142	0.4776756464033735	1.6283166975896737	1.6132607111180466
DKK2	1.5946917451328093	1.472256691154501					U	DKK2	GG1	GG2	5	24	1	10	1.69996390537383	0.227707214219329	1.69996390537383	0.1052721602410206	1.472256691154501	1.5946917451328093
GP1BA	1.4904030260823964	1.493121732071525					U	GP1BA	GG1	GG2	5	24	2	10	0.8980757861046864	-0.5950459459668388	0.8980757861046864	-0.59232723997771	1.493121732071525	1.4904030260823964
RHAG	1.4894088856031444	1.4999898575366264					U	RHAG	GG1	GG2	5	24	2	6	1.118894022990987	-0.3810958345456395	1.118894022990987	-0.3705148626121575	1.4999898575366264	1.4894088856031444
C1QTNF2	1.437791915326555	1.2434579208140546	2.6925068021830025	0.014005676614499602	0.9314776152262169	0.03082757737594436	U	C1QTNF2	GG1	GG2	5	24	4	14	0.692095255948513	-0.5513626648655416	0.6034141121456585	-0.8343778031808965	1.2434579208140546	1.437791915326555
CDH6	-1.3998397848075181	-1.282084084491259					D	CDH6	GG1	GG2	5	24	1	5	-0.776678132915618	0.5054059515756412	-0.776678132915618	0.6231616518919	1.282084084491259	1.3998397848075181
DISC1	1.384905414155539	1.619436617619239					U	DISC1	GG1	GG2	5	24	1	13	1.5092706153613	-0.11016600225793896	1.5092706153613	0.124365201205761	1.619436617619239	1.384905414155539
