contrast	Feature	Log2FC(median)	Log2FC(mean)	ModeratedT(Stats)	ModeratedT(P-value)	FDR	-Log10(FDR)	Significance	Gene	group1_label	group2_label	n_group1_total	n_group2_total	n_group1_nonmissing	n_group2_nonmissing	group1_mean	group2_mean	group1_median	group2_median	AbsLog2FC(mean)	AbsLog2FC(median)
GG1_vs_GG2	H3-4	4.737959776376964	5.419909316409576					U	H3-4	GG1	GG2	5	24	1	5	4.40376958304383	-1.0161397333657465	4.40376958304383	-0.334190193333134	5.419909316409576	4.737959776376964
GG1_vs_GG2	ADGRG5	4.570043938227016	3.9559154983689626					U	ADGRG5	GG1	GG2	5	24	1	3	0.954017268017576	-3.0018982303513866	0.954017268017576	-3.61602667020944	3.9559154983689626	4.570043938227016
GG1_vs_GG2	SFTPA2	3.801454473487481	2.875894972628364					U	SFTPA2	GG1	GG2	5	24	3	13	2.385350655846578	-0.4905443167817864	3.22487895913609	-0.576575514351391	2.875894972628364	3.801454473487481
GG1_vs_GG2	AK7	3.363355397418472	3.334692741302757					U	AK7	GG1	GG2	5	24	1	8	2.89246431309701	-0.4422284282057467	2.89246431309701	-0.470891084321462	3.334692741302757	3.363355397418472
GG1_vs_GG2	MKS1	3.271881888816147	3.241993106215023					U	MKS1	GG1	GG2	5	24	1	4	2.60056114642331	-0.641431959791713	2.60056114642331	-0.671320742392837	3.241993106215023	3.271881888816147
GG1_vs_GG3	H3-4	5.415267592204657	4.811455652198042					U	H3-4	GG1	GG3	5	31	1	8	4.40376958304383	-0.4076860691542125	4.40376958304383	-1.011498009160827	4.811455652198042	5.415267592204657
GG1_vs_GG3	ADGRG5	4.191446654743806	4.078921287722142					U	ADGRG5	GG1	GG3	5	31	1	3	0.954017268017576	-3.1249040197045663	0.954017268017576	-3.23742938672623	4.078921287722142	4.191446654743806
GG1_vs_GG3	SFTPA2	3.4240099908594432	2.571216411821875					U	SFTPA2	GG1	GG3	5	31	3	16	2.385350655846578	-0.185865755975297	3.22487895913609	-0.199131031723353	2.571216411821875	3.4240099908594432
GG1_vs_GG3	MKS1	3.35923968116186	3.2410845733405864					U	MKS1	GG1	GG3	5	31	1	3	2.60056114642331	-0.6405234269172766	2.60056114642331	-0.75867853473855	3.2410845733405864	3.35923968116186
GG1_vs_GG3	DEFA3	3.16867291492572	1.5951996590202402					U	DEFA3	GG1	GG3	5	31	3	19	0.91694255019029	-0.6782571088299502	2.15777469745476	-1.01089821747096	1.5951996590202402	3.16867291492572
